5,8,10,11,14,15,20,23,29,33,34,47,53,59,60,66,67,71,75,76
2,4,22,25,26,28,33,39,43,44,46,52,55,56,66,67,68,73,75,77
1,2,9,11,13,17,24,25,30,37,41,54,60,63,65,71,72,74,77,78
1,3,17,18,23,25,28,29,33,36,44,52,53,55,59,60,61,65,76,78
6,7,9,10,11,14,15,20,21,24,40,41,43,50,51,58,61,65,73,79
4,8,9,10,12,17,24,28,31,32,40,41,45,49,52,67,74,75,77,79
2,5,10,11,23,27,29,35,42,47,51,53,57,59,63,65,67,71,73,78
5,9,11,12,15,19,27,30,34,38,40,43,45,47,52,58,62,70,72,75
3,6,9,10,17,18,21,22,34,36,37,39,46,52,54,59,63,64,76,77
4,5,8,11,21,30,34,36,39,44,50,52,59,60,67,68,71,74,76,78
1,5,10,12,23,26,29,33,34,36,37,43,44,45,53,54,63,64,67,77
2,7,8,16,19,21,27,32,43,46,48,49,61,64,66,68,74,77,79,80
1,4,14,25,26,30,31,32,33,34,38,41,47,53,56,61,66,71,74,78
2,3,12,14,17,19,26,31,33,37,41,43,51,53,55,58,63,65,76,80
1,6,12,14,17,19,32,33,40,43,47,50,51,57,58,59,61,62,74,79
2,4,11,12,15,16,17,19,20,27,32,34,35,40,42,43,44,52,55,59
4,9,11,12,17,18,22,26,27,28,31,33,39,42,48,49,51,60,62,80
